"filename", "language", "JSON", "Minecraft Function", "Markdown", "CSV", "comment", "blank", "total"
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\function-timers\3s.mcfunction", "Minecraft Function", 0, 2, 0, 0, 1, 3, 6
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\function-timers\5s.mcfunction", "Minecraft Function", 0, 5, 0, 0, 1, 0, 6
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\load.mcfunction", "Minecraft Function", 0, 70, 0, 0, 3, 3, 76
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\mana\regeneration.mcfunction", "Minecraft Function", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\mana\regernation.mcfunction", "Minecraft Function", 0, -4, 0, 0, 0, -1, -5
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\farmingxp.mcfunction", "Minecraft Function", 0, -120, 0, 0, 0, 0, -120
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\farmingxp\crimson_vines.mcfunction", "Minecraft Function", 0, 18, 0, 0, 0, 3, 21
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\farmingxp\levelup.mcfunction", "Minecraft Function", 0, 8, 0, 0, 0, 0, 8
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\farmingxp\set_goals.mcfunction", "Minecraft Function", 0, 101, 0, 0, 0, 0, 101
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\fishingxp.mcfunction", "Minecraft Function", 0, -105, 0, 0, 0, -1, -106
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\fishingxp\levelup.mcfunction", "Minecraft Function", 0, 8, 0, 0, 0, 0, 8
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\fishingxp\set_goals.mcfunction", "Minecraft Function", 0, 101, 0, 0, 0, 1, 102
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\foragingxp\levelup.mcfunction", "Minecraft Function", 0, 8, 0, 0, 0, 1, 9
"c:\Users\Tim Fischer\curseforge\minecraft\Instances\Instances\Standart 1.21.3\saves\MINECRAFT ELEMENTS\datapacks\minecraft-elements\data\elements\function\miningxp\foragingxp\set_goals.mcfunction", "Minecraft Function", 0, 101, 0, 0, 0, 1, 102
