"filename", "language", "JSON", "MCMETA", "mcfunction", "comment", "blank", "total"
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\fishing-frucht\timer.mcfunction", "mcfunction", 0, 0, 16, 0, 15, 31
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\fishing-frucht\trigger.mcfunction", "mcfunction", 0, 0, 6, 0, 4, 10
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\foraging-frucht\timer.mcfunction", "mcfunction", 0, 0, 16, 0, 15, 31
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\foraging-frucht\trigger.mcfunction", "mcfunction", 0, 0, 6, 0, 4, 10
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\gravitystone\mainhand.mcfunction", "mcfunction", 0, 0, 4, 0, 1, 5
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\gravitystone\offhand.mcfunction", "mcfunction", 0, 0, 4, 0, 1, 5
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\illegale_lizenzen\stage_1.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\illegale_lizenzen\stage_2.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\illegale_lizenzen\stage_3.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\illegale_lizenzen\stage_4.mcfunction", "mcfunction", 0, 0, 5, 0, 2, 7
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mana-items\magische-schale.mcfunction", "mcfunction", 0, 0, 10, 0, 2, 12
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mana-items\messstab.mcfunction", "mcfunction", 0, 0, 5, 0, 4, 9
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mana-items\schrumpfstab.mcfunction", "mcfunction", 0, 0, 34, 0, 9, 43
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mining-frucht\timer.mcfunction", "mcfunction", 0, 0, 16, 0, 14, 30
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mining-frucht\trigger.mcfunction", "mcfunction", 0, 0, 6, 0, 4, 10
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\barriere_stab.mcfunction", "mcfunction", 0, 0, 11, 0, 3, 14
"c:\Users\timfi\curseforge\minecraft\Instances\Standart 1.21.3\saves\MinecraftElements\datapacks\minecraft-elements\data\elements\function\custom-items\mystery\barriere_stab_particle\rotate_x.mcfunction", "mcfunction", 0, 0, 4, 1, 6, 11
